Cell Site Name,Outage,Congestion ,Buffering ,Latency
TEST1CR01_Castle Rock 90-test,0,0,0,0
Tesuque,0,0,0,0
TolaniLake,0,0,0,0
Tolikan,1,0,0,0
Tolikan-11236,1,0,0,0
Tonalea,0,0,0,0
Tonalea-10257,0,0,0,0
Tonopah Downtown,0,1,1,0
Torreon-1803,0,0,0,0
Tsaile,1,0,0,0
Tsaile-20298,0,0,0,0
Tse Da Kaan-30179,0,0,0,0
Tse Daa Kaan,0,0,0,0
Tse Daa Kaan-10179,0,0,0,0
Tse Daa Kaan-20179,0,0,0,0
Tselani,0,0,0,0
Tselani-10254,0,0,0,0
Tuba City,0,0,0,0
Tuba City District Office,0,0,0,0
Tuba City District Office-11232,0,0,0,0
Tuba City South,0,0,0,0
Tuba City South-10224,0,0,0,0
Tuba Cutoff,0,0,0,0
Tuba Cutoff-10215,0,0,0,0
Tusayan Airport,0,1,1,0
Tusayan Central,0,1,1,0
Two Grey Hills,0,0,0,0
Two Grey Hills-10160,0,0,0,0
Upper Valley Red River,0,0,0,0
Victor,0,0,0,0
Vya COW,0,0,0,0
Wahweap,0,0,0,0
Waterflow-10114,0,0,0,0
Weaver Mountain,1,0,0,0
White Rock,0,0,0,0
White Signal,0,0,0,0
Wickenburg,0,0,0,0
Wickenburg East,0,0,0,0
Wickenburg North,0,0,0,0
Wickenburg Ranchos,1,0,0,0
Wickenburg West,0,0,0,0
Willie,0,0,0,0
Willie-10217,0,0,0,0
Window Rock East-11240,0,0,0,0
Woodsprings-1245,0,0,0,0
yahoo.com,0,0,0,0
Yale Point,0,0,0,0
Yale Point-10218,0,0,0,0
Yarnell,1,0,0,0
